description,category,severity,priority
"Pont abîmé au centre-ville, danger de mort",infrastructure,critique,critique
"Incident divers dans une parcelle, mort",autre,critique,critique
Inondation à l'arrêt de bus,inondation,moyen,moyenne
Incident divers au centre-ville,autre,moyen,basse
"Maisons envahies par l'eau à l'arrêt de bus, au secours",inondation,eleve,critique
"Câble électrique tombé à la station, explosion",electricite,eleve,haute
Bagarre violente à l'arrêt de bus,agression,eleve,critique
"Collision entre deux véhicules dans une parcelle, urgent",accident,critique,critique
"Un individu a volé un téléphone près de l'école, sang",vol,critique,critique
"Un individu a volé un téléphone à la Ruashi, sang",vol,moyen,haute
Maisons envahies par l'eau à Kamalondo,inondation,eleve,haute
Coupure d'électricité dans le quartier Kenya,electricite,faible,basse
Voirie endommagée au centre-ville,infrastructure,faible,basse
Agression physique à la Ruashi,agression,moyen,haute
"Maison en feu près du rond-point, arme",incendie,faible,haute
Pont abîmé sur l'avenue Kasaï,infrastructure,eleve,moyenne
"Pont abîmé à Kamalondo, sang",infrastructure,critique,critique
Moto renversée dans le quartier Kenya,accident,moyen,moyenne
"Voirie endommagée au centre-ville, personne blessée",infrastructure,moyen,moyenne
"Montée des eaux près du rond-point, sang",inondation,moyen,haute
"Agression près du rond-point, danger de mort",agression,moyen,critique
Cambriolage d'une maison dans le quartier Kenya,vol,moyen,moyenne
Absence de courant depuis des heures au centre-ville,electricite,faible,basse
Montée des eaux à la station,inondation,faible,basse
"Feu de brousse sur l'avenue Kasaï, blessé",incendie,critique,critique
"Incendie à la Ruashi, feu",incendie,moyen,critique
Voirie endommagée dans une parcelle,infrastructure,faible,basse
Vol signalé au marché,vol,faible,basse
Fumée épaisse et flammes à la Ruashi,incendie,moyen,haute
"Un individu a volé un téléphone à Kamalondo, feu",vol,eleve,critique
Effraction constatée à la Ruashi,vol,moyen,moyenne
"Véhicule accidenté à Kamalondo, au secours",accident,moyen,haute
Moto renversée au marché,accident,critique,critique
Un individu a volé un téléphone à l'arrêt de bus,vol,faible,basse
Débordement d'un caniveau au centre-ville,inondation,critique,critique
"Pont abîmé près du rond-point, danger de mort",infrastructure,faible,basse
Objet abandonné près de l'école,autre,moyen,basse
Collision entre deux véhicules près du rond-point,accident,faible,basse
Maison en feu sur l'avenue Kasaï,incendie,faible,moyenne
Menaces avec violence à l'arrêt de bus,agression,critique,critique
Montée des eaux derrière le stade,inondation,faible,basse
"Transformateur en panne dans une parcelle, danger de mort",electricite,moyen,moyenne
"Route dégradée à la station, enfant",infrastructure,critique,critique
Collision entre deux véhicules sur l'avenue Kasaï,accident,eleve,haute
"Route inondée au centre-ville, explosion",inondation,moyen,haute
Montée des eaux près de l'école,inondation,critique,critique
Coupure d'électricité dans une parcelle,electricite,moyen,basse
"Incident divers derrière le stade, urgent",autre,eleve,haute
"Effraction constatée derrière le stade, noyade",vol,moyen,haute
Caniveau bouché sur l'avenue Kasaï,infrastructure,moyen,basse
"Moto renversée au centre-ville, feu",accident,eleve,critique
Menaces avec violence derrière le stade,agression,moyen,haute
"Route inondée au marché, au secours",inondation,eleve,critique
Accident de circulation à l'arrêt de bus,accident,faible,basse
Objet abandonné au centre-ville,autre,eleve,moyenne
Fortes pluies provoquant une inondation près de l'école,inondation,faible,basse
Voirie endommagée dans le quartier Kenya,infrastructure,critique,haute
"Effraction constatée à la station, noyade",vol,critique,critique
Fortes pluies provoquant une inondation près de l'école,inondation,moyen,moyenne
Montée des eaux au marché,inondation,moyen,moyenne
Absence de courant depuis des heures à la Ruashi,electricite,faible,basse
Route inondée près de l'école,inondation,moyen,moyenne
"Fortes pluies provoquant une inondation à la station, mort",inondation,moyen,haute
"Débordement d'un caniveau à la station, blessé",inondation,critique,critique
Agression dans une parcelle,agression,eleve,critique
Accident impliquant un piéton à la Ruashi,accident,faible,basse
Fortes pluies provoquant une inondation près de l'école,inondation,critique,critique
Fumée épaisse et flammes à l'arrêt de bus,incendie,moyen,haute
Cambriolage d'une maison à la station,vol,moyen,moyenne
"Absence de courant depuis des heures au centre-ville, à main armée",electricite,moyen,moyenne
"Vol de moto près de l'école, noyade",vol,critique,critique
Effraction constatée à Kamalondo,vol,eleve,haute
"Vol de moto près du rond-point, couteau",vol,eleve,critique
Route inondée à l'arrêt de bus,inondation,faible,basse
"Route inondée près de l'école, enfant",inondation,critique,critique
Vol de moto sur l'avenue Kasaï,vol,eleve,haute
"Vol à l'arraché dans une parcelle, explosion",vol,critique,critique
Nuisance signalée à l'arrêt de bus,autre,faible,basse
Vol signalé à l'arrêt de bus,vol,faible,basse
Véhicule accidenté près de l'école,accident,critique,critique
Maisons envahies par l'eau près de l'école,inondation,eleve,haute
Vol de moto derrière le stade,vol,moyen,moyenne
"Incendie à la station, mort",incendie,eleve,critique
Panne de courant près de l'école,electricite,moyen,basse
"Vol à l'arraché dans une parcelle, sang",vol,eleve,critique
"Coupure d'électricité à la Ruashi, personne blessée",electricite,moyen,moyenne
"Route dégradée près du rond-point, noyade",infrastructure,critique,critique
Transformateur en panne près du rond-point,electricite,critique,haute
Menaces avec violence à l'arrêt de bus,agression,eleve,critique
Transformateur en panne près de l'école,electricite,moyen,basse
Vol à l'arraché à Kamalondo,vol,eleve,haute
"Poteau électrique endommagé au marché, blessé",electricite,faible,basse
"Transformateur en panne à l'arrêt de bus, noyade",electricite,critique,critique
Menaces avec violence au centre-ville,agression,faible,moyenne
"Absence de courant depuis des heures à l'arrêt de bus, explosion",electricite,eleve,haute
Collision entre deux véhicules près de l'école,accident,moyen,moyenne
Agression physique dans le quartier Kenya,agression,moyen,haute
Poteau électrique endommagé près de l'école,electricite,faible,basse
Caniveau bouché près du rond-point,infrastructure,faible,basse
"Problème non identifié près de l'école, sang",autre,moyen,moyenne
Menaces avec violence à l'arrêt de bus,agression,critique,critique
Attaque signalée près du rond-point,agression,eleve,critique
Lampadaire cassé à l'arrêt de bus,infrastructure,faible,basse
"Collision entre deux véhicules sur l'avenue Kasaï, arme",accident,moyen,haute
"Absence de courant depuis des heures dans une parcelle, personne blessée",electricite,critique,critique
"Voirie endommagée derrière le stade, feu",infrastructure,moyen,moyenne
Objet abandonné dans le quartier Kenya,autre,faible,basse
Une personne se fait agresser à l'arrêt de bus,agression,moyen,haute
"Voirie endommagée à la Ruashi, feu",infrastructure,eleve,haute
"Un individu a volé un téléphone près du rond-point, noyade",vol,critique,critique
Inondation près du rond-point,inondation,faible,basse
Nid-de-poule dangereux au marché,infrastructure,faible,basse
"Attroupement suspect près de l'école, explosion",autre,faible,basse
Caniveau bouché près de l'école,infrastructure,faible,basse
"Un individu a volé un téléphone au marché, urgent",vol,critique,critique
"Véhicule accidenté au marché, au secours",accident,critique,critique
"Véhicule accidenté à l'arrêt de bus, danger de mort",accident,eleve,critique
Voirie endommagée dans une parcelle,infrastructure,moyen,basse
Poteau électrique endommagé au centre-ville,electricite,moyen,basse
Pont abîmé au centre-ville,infrastructure,moyen,basse
Inondation près de l'école,inondation,critique,critique
Fortes pluies provoquant une inondation dans une parcelle,inondation,moyen,moyenne
"Incident divers derrière le stade, noyade",autre,critique,critique
"Agression à Kamalondo, sang",agression,critique,critique
Coupure d'électricité à l'arrêt de bus,electricite,eleve,moyenne
Agression à la Ruashi,agression,eleve,critique
"Collision entre deux véhicules près de l'école, urgent",accident,eleve,critique
"Véhicule accidenté à la Ruashi, urgent",accident,eleve,critique
"Route inondée derrière le stade, danger de mort",inondation,moyen,haute
Nuisance signalée à l'arrêt de bus,autre,moyen,basse
Bagarre violente dans le quartier Kenya,agression,moyen,haute
Maison en feu à la Ruashi,incendie,eleve,critique
"Transformateur en panne à Kamalondo, couteau",electricite,critique,critique
Nuisance signalée au centre-ville,autre,moyen,basse
"Agression à la Ruashi, au secours",agression,critique,critique
"Court-circuit ayant provoqué un incendie dans une parcelle, personne blessée",incendie,eleve,critique
"Absence de courant depuis des heures dans le quartier Kenya, couteau",electricite,moyen,moyenne
"Bagarre violente à la Ruashi, noyade",agression,moyen,critique
"Vol signalé à Kamalondo, arme",vol,eleve,critique
Situation inhabituelle sur l'avenue Kasaï,autre,faible,basse
Débordement d'un caniveau dans une parcelle,inondation,faible,basse
Attroupement suspect près du rond-point,autre,faible,basse
"Un individu a volé un téléphone près de l'école, à main armée",vol,faible,moyenne
"Lampadaire cassé au centre-ville, noyade",infrastructure,eleve,haute
"Lampadaire cassé dans une parcelle, au secours",infrastructure,critique,critique
Maison en feu au centre-ville,incendie,eleve,critique
"Incendie dans le quartier Kenya, feu",incendie,critique,critique
Court-circuit ayant provoqué un incendie sur l'avenue Kasaï,incendie,faible,moyenne
Panne de courant dans le quartier Kenya,electricite,faible,basse
"Carambolage à la station, sang",accident,eleve,critique
Débordement d'un caniveau près de l'école,inondation,moyen,moyenne
Départ de feu derrière le stade,incendie,faible,moyenne
Vol de moto derrière le stade,vol,faible,basse
"Carambolage sur l'avenue Kasaï, sang",accident,critique,critique
"Incendie à la station, à main armée",incendie,critique,critique
"Incident divers sur l'avenue Kasaï, sang",autre,critique,critique
Agression à la station,agression,eleve,critique
Véhicule accidenté dans le quartier Kenya,accident,faible,basse
Agression à Kamalondo,agression,faible,moyenne
Inondation au marché,inondation,eleve,haute
Agression à la Ruashi,agression,faible,moyenne
"Fumée épaisse et flammes au centre-ville, couteau",incendie,critique,critique
"Panne de courant à l'arrêt de bus, blessé",electricite,critique,critique
"Maisons envahies par l'eau au marché, explosion",inondation,critique,critique
Maisons envahies par l'eau dans une parcelle,inondation,eleve,haute
Nuisance signalée dans le quartier Kenya,autre,faible,basse
"Problème non identifié à la station, noyade",autre,critique,critique
"Problème non identifié dans une parcelle, feu",autre,moyen,moyenne
"Problème non identifié à l'arrêt de bus, noyade",autre,eleve,haute
Feu de brousse dans le quartier Kenya,incendie,moyen,haute
Incendie à la Ruashi,incendie,critique,critique
"Vol signalé à la Ruashi, blessé",vol,faible,moyenne
Incident divers à l'arrêt de bus,autre,eleve,moyenne
"Accident de circulation dans le quartier Kenya, urgent",accident,critique,critique
"Absence de courant depuis des heures au centre-ville, danger de mort",electricite,moyen,moyenne
"Menaces avec violence derrière le stade, enfant",agression,critique,critique
"Maison en feu à l'arrêt de bus, urgent",incendie,critique,critique
"Menaces avec violence dans le quartier Kenya, personne blessée",agression,moyen,critique
Accident impliquant un piéton sur l'avenue Kasaï,accident,faible,basse
Court-circuit ayant provoqué un incendie à l'arrêt de bus,incendie,faible,moyenne
Absence de courant depuis des heures près du rond-point,electricite,moyen,basse
Coupure d'électricité dans une parcelle,electricite,critique,haute
"Bagarre violente sur l'avenue Kasaï, mort",agression,eleve,critique
Absence de courant depuis des heures dans le quartier Kenya,electricite,eleve,moyenne
Caniveau bouché à Kamalondo,infrastructure,faible,basse
"Pont abîmé dans une parcelle, danger de mort",infrastructure,moyen,moyenne
"Situation inhabituelle dans une parcelle, enfant",autre,moyen,moyenne
Poteau électrique endommagé à la Ruashi,electricite,moyen,basse
Départ de feu derrière le stade,incendie,moyen,haute
"Court-circuit ayant provoqué un incendie sur l'avenue Kasaï, mort",incendie,critique,critique
Bagarre violente derrière le stade,agression,faible,moyenne
Attroupement suspect près de l'école,autre,faible,basse
Lampadaire cassé dans le quartier Kenya,infrastructure,eleve,moyenne
Maison en feu à Kamalondo,incendie,moyen,haute
Cambriolage d'une maison à la station,vol,faible,basse
"Nuisance signalée dans une parcelle, personne blessée",autre,critique,critique
Fumée épaisse et flammes près du rond-point,incendie,moyen,haute
Collision entre deux véhicules à l'arrêt de bus,accident,faible,basse
"Panne de courant à l'arrêt de bus, à main armée",electricite,critique,critique
Débordement d'un caniveau près du rond-point,inondation,eleve,haute
Vol de moto à la Ruashi,vol,moyen,moyenne
Accident de circulation à Kamalondo,accident,faible,basse
"Montée des eaux dans le quartier Kenya, feu",inondation,critique,critique
Moto renversée dans une parcelle,accident,faible,basse
Vol à l'arraché à la Ruashi,vol,moyen,moyenne
Route dégradée à Kamalondo,infrastructure,faible,basse
Moto renversée à la Ruashi,accident,eleve,haute
Voirie endommagée dans le quartier Kenya,infrastructure,eleve,moyenne
"Objet abandonné dans le quartier Kenya, feu",autre,eleve,haute
Une personne se fait agresser à Kamalondo,agression,faible,moyenne
"Cambriolage d'une maison près de l'école, feu",vol,eleve,critique
Objet abandonné dans une parcelle,autre,eleve,moyenne
"Maison en feu à la Ruashi, enfant",incendie,moyen,critique
Feu de brousse à la station,incendie,eleve,critique
Feu de brousse près du rond-point,incendie,moyen,haute
Collision entre deux véhicules près du rond-point,accident,moyen,moyenne
Nuisance signalée au centre-ville,autre,eleve,moyenne
Coupure d'électricité derrière le stade,electricite,eleve,moyenne
Coupure d'électricité au centre-ville,electricite,eleve,moyenne
Incident divers sur l'avenue Kasaï,autre,eleve,moyenne
"Débordement d'un caniveau à l'arrêt de bus, urgent",inondation,eleve,critique
"Menaces avec violence à la Ruashi, explosion",agression,critique,critique
Nid-de-poule dangereux derrière le stade,infrastructure,moyen,basse
"Effraction constatée à l'arrêt de bus, sang",vol,faible,moyenne
